iter	Passed	Remaining
361	1591	2804
362	1596	2800
363	1600	2797
364	1604	2791
365	1609	2787
366	1614	2784
367	1617	2777
368	1621	2772
369	1626	2769
370	1632	2767
371	1636	2762
372	1641	2759
373	1646	2755
374	1649	2749
375	1654	2745
376	1658	2741
377	1663	2737
378	1667	2732
379	1672	2728
380	1678	2726
381	1682	2721
382	1687	2718
383	1692	2714
384	1697	2711
385	1701	2705
386	1706	2702
387	1709	2696
388	1714	2692
389	1717	2686
390	1721	2680
391	1726	2677
392	1730	2673
393	1735	2668
394	1739	2664
395	1744	2661
396	1749	2656
397	1754	2653
398	1759	2650
399	1763	2644
400	1768	2642
401	1773	2638
402	1777	2633
403	1781	2628
404	1786	2624
405	1790	2620
406	1795	2616
407	1801	2613
408	1805	2609
409	1810	2605
410	1814	2600
411	1820	2597
412	1824	2593
413	1828	2587
414	1833	2584
415	1838	2580
416	1843	2576
417	1848	2573
418	1852	2568
419	1857	2565
420	1861	2560
421	1866	2556
422	1870	2551
423	1875	2547
424	1879	2543
425	1883	2537
426	1888	2534
427	1892	2529
428	1897	2525
429	1902	2521
430	1907	2518
431	1911	2513
432	1916	2509
433	1921	2506
434	1926	2501
435	1928	2495
436	1933	2491
437	1939	2488
438	1943	2483
439	1948	2479
440	1953	2475
441	1957	2471
442	1962	2467
443	1967	2463
444	1972	2460
445	1976	2455
446	1979	2448
447	1984	2445
448	1989	2440
449	1994	2437
450	1999	2434
451	2004	2430
452	2008	2425
453	2014	2422
454	2019	2418
455	2024	2415
456	2030	2413
457	2035	2408
458	2039	2404
459	2044	2400
460	2049	2396
461	2054	2392
462	2058	2387
463	2063	2383
464	2068	2379
465	2072	2374
466	2076	2370
467	2081	2365
468	2086	2361
469	2089	2356
470	2094	2352
471	2100	2349
472	2104	2344
473	2108	2340
474	2113	2336
475	2118	2331
476	2120	2325
477	2125	2321
478	2131	2317
479	2136	2314
480	2139	2308
481	2144	2304
482	2149	2300
483	2150	2292
484	2158	2291
485	2163	2287
486	2167	2283
487	2170	2277
488	2175	2272
489	2180	2269
490	2184	2265
491	2190	2261
492	2194	2257
493	2198	2252
494	2203	2247
495	2205	2241
496	2210	2237
497	2215	2232
498	2220	2229
499	2225	2225
500	2230	2221
501	2232	2214
502	2237	2210
503	2242	2206
504	2247	2202
505	2251	2198
506	2256	2194
507	2260	2189
508	2264	2184
509	2269	2180
510	2274	2176
511	2279	2172
512	2284	2168
513	2289	2164
514	2294	2160
515	2297	2155
516	2302	2151
517	2307	2147
518	2310	2141
519	2315	2137
520	2321	2134
521	2326	2130
522	2330	2125
523	2335	2121
524	2339	2117
525	2344	2112
526	2350	2109
527	2354	2104
528	2359	2100
529	2364	2096
530	2369	2092
531	2374	2088
532	2378	2084
533	2384	2081
534	2389	2076
535	2393	2071
536	2398	2068
537	2403	2063
538	2408	2059
539	2412	2054
540	2417	2050
541	2422	2047
542	2426	2042
543	2432	2038
544	2435	2033
545	2440	2029
546	2444	2024
547	2450	2021
548	2454	2016
549	2458	2011
550	2463	2007
551	2467	2002
552	2471	1997
553	2476	1993
554	2481	1989
555	2485	1985
556	2490	1980
557	2495	1976
558	2500	1972
559	2504	1967
560	2508	1962
561	2513	1958
562	2518	1954
563	2522	1949
564	2527	1945
565	2532	1942
566	2537	1937
567	2542	1933
568	2547	1929
569	2552	1925
570	2555	1920
571	2560	1915
572	2565	1911
573	2570	1907
574	2573	1902
575	2578	1898
576	2583	1893
577	2587	1889
578	2592	1885
579	2597	1880
580	2601	1876
581	2605	1871
582	2610	1867
583	2615	1862
584	2619	1857
585	2623	1853
586	2628	1849
587	2633	1845
588	2636	1840
589	2641	1835
590	2645	1830
591	2649	1826
592	2653	1820
593	2657	1816
594	2662	1812
595	2666	1807
596	2670	1802
597	2675	1798
598	2680	1794
599	2684	1789
600	2688	1784
601	2693	1780
602	2695	1774
603	2700	1770
604	2704	1765
605	2709	1761
606	2714	1757
607	2718	1752
608	2723	1748
609	2728	1744
610	2732	1739
611	2737	1735
612	2742	1731
613	2747	1726
614	2750	1722
615	2756	1718
616	2760	1713
617	2766	1710
618	2771	1705
619	2776	1701
620	2779	1696
621	2783	1691
622	2788	1687
623	2792	1682
624	2797	1678
625	2801	1673
626	2805	1669
627	2809	1664
628	2813	1659
629	2817	1654
630	2822	1650
631	2825	1645
632	2829	1640
633	2833	1635
634	2837	1631
635	2841	1626
636	2845	1621
637	2850	1617
638	2854	1612
639	2857	1607
640	2861	1602
641	2863	1596
642	2868	1592
643	2871	1587
644	2876	1583
645	2878	1577
646	2882	1572
647	2886	1567
648	2891	1563
649	2894	1558
650	2899	1554
651	2903	1549
652	2908	1545
653	2911	1540
654	2915	1535
655	2920	1531
656	2925	1527
657	2929	1522
658	2933	1517
659	2938	1513
660	2942	1509
661	2947	1504
662	2951	1500
663	2956	1495
664	2960	1491
665	2963	1486
666	2968	1482
667	2973	1477
668	2976	1472
669	2981	1468
670	2985	1463
671	2990	1459
672	2992	1454
673	2997	1449
674	3001	1445
675	3006	1441
676	3010	1436
677	3015	1432
678	3019	1427
679	3023	1422
680	3028	1418
681	3032	1414
682	3037	1409
683	3041	1405
684	3046	1400
685	3050	1396
686	3054	1391
687	3058	1386
688	3063	1382
689	3067	1378
690	3072	1373
691	3076	1369
692	3080	1364
693	3085	1360
694	3089	1355
695	3094	1351
696	3099	1347
697	3103	1342
698	3106	1337
699	3111	1333
700	3115	1329
701	3120	1324
702	3124	1320
703	3129	1315
704	3134	1311
705	3138	1306
706	3143	1302
707	3147	1298
708	3152	1293
709	3156	1289
710	3159	1284
711	3163	1279
712	3168	1275
713	3172	1270
714	3176	1266
715	3181	1262
716	3185	1257
717	3188	1252
718	3193	1248
719	3197	1243
720	3201	1238
721	3204	1233
722	3206	1228
723	3211	1224
724	3214	1219
725	3218	1214
726	3223	1210
727	3228	1206
728	3232	1201
729	3236	1197
730	3240	1192
731	3245	1188
732	3250	1183
733	3254	1179
734	3259	1175
735	3263	1170
736	3267	1166
737	3274	1162
738	3278	1157
739	3282	1153
740	3286	1148
741	3291	1144
742	3295	1140
743	3299	1135
744	3303	1130
745	3308	1126
746	3313	1122
747	3317	1117
748	3321	1113
749	3326	1108
750	3330	1104
751	3334	1099
752	3338	1095
753	3343	1090
754	3347	1086
755	3351	1081
756	3356	1077
757	3360	1072
758	3364	1068
759	3368	1063
760	3373	1059
761	3378	1055
762	3381	1050
763	3385	1045
764	3390	1041
765	3395	1037
766	3398	1032
767	3401	1027
768	3406	1023
769	3411	1018
770	3415	1014
771	3419	1010
772	3424	1005
773	3427	1000
774	3432	996
775	3437	992
776	3441	987
777	3445	983
778	3447	978
779	3452	973
780	3457	969
781	3460	964
782	3465	960
783	3469	955
784	3474	951
785	3478	946
786	3482	942
787	3484	937
788	3489	933
789	3493	928
790	3497	924
791	3502	919
792	3507	915
793	3511	911
794	3516	906
795	3520	902
796	3524	897
797	3529	893
798	3533	888
799	3538	884
800	3541	879
801	3544	875
802	3548	870
803	3553	866
804	3557	861
805	3561	857
806	3565	852
807	3570	848
808	3573	843
809	3577	839
810	3581	834
811	3586	830
812	3590	825
813	3595	821
814	3599	817
815	3603	812
816	3607	808
817	3612	803
818	3617	799
819	3622	795
820	3626	790
821	3631	786
822	3635	781
823	3639	777
824	3643	772
825	3648	768
826	3652	764
827	3656	759
828	3661	755
829	3666	750
830	3668	746
831	3672	741
832	3677	737
833	3682	732
834	3685	728
835	3690	723
836	3695	719
837	3699	715
838	3702	710
839	3707	706
840	3712	701
841	3715	697
842	3719	692
843	3725	688
844	3729	684
845	3733	679
846	3738	675
847	3741	670
848	3745	666
849	3749	661
850	3754	657
851	3758	652
852	3763	648
853	3767	644
854	3771	639
855	3776	635
856	3780	630
857	3784	626
858	3788	621
859	3792	617
860	3796	612
861	3800	608
862	3804	603
863	3809	599
864	3813	595
865	3817	590
866	3821	586
867	3823	581
868	3828	577
869	3832	572
870	3836	568
871	3840	563
872	3845	559
873	3848	554
874	3853	550
875	3858	546
876	3862	541
877	3867	537
878	3871	533
879	3876	528
880	3880	524
881	3884	519
882	3888	515
883	3893	510
884	3897	506
885	3901	502
886	3906	497
887	3910	493
888	3914	488
889	3917	484
890	3921	479
891	3926	475
892	3929	470
893	3932	466
894	3937	461
895	3941	457
896	3945	453
897	3950	448
898	3955	444
899	3958	439
900	3962	435
901	3967	431
902	3971	426
903	3975	422
904	3980	417
905	3985	413
906	3989	409
907	3992	404
908	3997	400
909	4002	395
910	4006	391
911	4010	386
912	4015	382
913	4019	378
914	4023	373
915	4027	369
916	4032	364
917	4035	360
918	4039	356
919	4043	351
920	4047	347
921	4051	342
922	4054	338
923	4059	333
924	4063	329
925	4067	325
926	4071	320
927	4075	316
928	4079	311
929	4083	307
930	4088	303
931	4092	298
932	4095	294
933	4099	289
934	4104	285
935	4108	280
936	4113	276
937	4118	272
938	4121	267
939	4125	263
940	4130	258
941	4135	254
942	4138	250
943	4143	245
944	4148	241
945	4152	237
946	4155	232
947	4160	228
948	4165	223
949	4169	219
950	4174	215
951	4179	210
952	4183	206
953	4188	201
954	4193	197
955	4198	193
956	4201	188
957	4206	184
958	4211	180
959	4216	175
960	4220	171
961	4224	166
962	4229	162
963	4233	158
964	4236	153
965	4241	149
966	4246	144
967	4249	140
968	4253	136
969	4258	131
970	4261	127
971	4265	122
972	4270	118
973	4274	114
974	4279	109
975	4283	105
976	4288	100
977	4292	96
978	4297	92
979	4301	87
980	4305	83
981	4310	79
982	4314	74
983	4319	70
984	4322	65
985	4326	61
986	4330	57
987	4334	52
988	4338	48
989	4343	43
990	4346	39
991	4353	35
992	4358	30
993	4362	26
994	4366	21
995	4370	17
996	4375	13
997	4378	8
998	4383	4
999	4388	0
